Frequency (Hz) - Plot 0,dBV - Plot 0
0,-113.737
31,-107.681
62,-101.966
94,-105.876
125,-116.614
156,-116.559
188,-114.885
219,-107.161
250,-108.143
281,-112.566
312,-114.451
344,-116.685
375,-115.853
406,-120.171
438,-111.987
469,-111.392
500,-113.262
531,-112.732
562,-110.125
594,-111.444
625,-115.731
656,-119.065
688,-119.608
719,-36.9847
750,-30.9662
781,-36.9902
812,-108.648
844,-107.155
875,-111.618
906,-116.587
938,-123.794
969,-117.549
1000,-119.795
1031,-115.762
1062,-110.311
1094,-112.234
1125,-120.368
1156,-117.788
1188,-114.865
1219,-117.159
1250,-125.538
1281,-117.812
1312,-117.049
1344,-113.857
1375,-110.983
1406,-109.763
1438,-106.943
1469,-97.7753
1500,-89.7684
1531,-95.3795
1562,-122.288
1594,-116.574
1625,-114.794
1656,-121.247
1688,-109.962
1719,-111.874
1750,-130.002
1781,-128
1812,-123.423
1844,-119.984
1875,-124.585
1906,-126.249
1938,-122.671
1969,-115.118
2000,-113.577
2031,-122.475
2062,-119.126
2094,-119.403
2125,-121.255
2156,-117.634
2188,-116.682
2219,-117.304
2250,-107.679
2281,-112.567
2312,-124.905
2344,-115.457
2375,-111.483
2406,-112.86
2438,-114.958
2469,-115.729
2500,-119.48
2531,-116.686
2562,-122.332
2594,-117.167
2625,-113.406
2656,-119.063
2688,-119.757
2719,-112.782
2750,-113.778
2781,-124.029
2812,-117.238
2844,-128.274
2875,-119.259
2906,-117.936
2938,-117.15
2969,-112.819
3000,-109.373
3031,-112.202
3062,-119.738
3094,-122.755
3125,-123.463
3156,-120.045
3188,-113.625
3219,-120.91
3250,-114.389
3281,-118.955
3312,-134.54
3344,-119.996
3375,-119.677
3406,-118.637
3438,-117.26
3469,-119.805
3500,-118.072
3531,-117.5
3562,-120.599
3594,-121.603
3625,-118.298
3656,-126.313
3688,-124.838
3719,-116.442
3750,-111.775
3781,-115.078
3812,-121.437
3844,-119.211
3875,-121.702
3906,-132.296
3938,-122.615
3969,-133.733
4000,-124.885
4031,-120.66
4062,-140.845
4094,-122.803
4125,-122.828
4156,-123.805
4188,-120.735
4219,-115.681
4250,-116.129
4281,-117.785
4312,-116.896
4344,-124.457
4375,-119.009
4406,-115.338
4438,-117.43
4469,-112.504
4500,-106.396
4531,-113.996
4562,-120.112
4594,-130.543
4625,-117.541
4656,-116.424
4688,-116.13
4719,-115.404
4750,-119.81
4781,-126.214
4812,-119.721
4844,-113.984
4875,-112.161
4906,-112.251
4938,-121.584
4969,-122.657
5000,-123.613
5031,-121.801
5062,-120.458
5094,-133.761
5125,-130.299
5156,-115.458
5188,-117.264
5219,-117.657
5250,-113.048
5281,-132.199
5312,-121.036
5344,-123.046
5375,-117.709
5406,-116.562
5438,-116.043
5469,-115.876
5500,-116.703
5531,-115.084
5562,-120.846
5594,-136.739
5625,-124.112
5656,-119.492
5688,-126.736
5719,-126.209
5750,-125.014
5781,-114.795
5812,-113.809
5844,-132.918
5875,-116.934
5906,-117.669
5938,-129.743
5969,-147.516
6000,-126.121
6031,-124.353
6062,-126.188
6094,-136.327
6125,-128.529
6156,-119.106
6188,-123.232
6219,-115.137
6250,-112.203
6281,-117.239
6312,-119.265
6344,-120.466
6375,-124.074
6406,-122.278
6438,-124.845
6469,-127.774
6500,-119.712
6531,-122.854
6562,-125.704
6594,-117.031
6625,-115.599
6656,-115.423
6688,-117.415
6719,-110.827
6750,-108.89
6781,-118.11
6812,-145.988
6844,-126.132
6875,-121.312
6906,-121.456
6938,-126.682
6969,-114.151
7000,-118.268
7031,-124.654
7062,-115.371
7094,-114.718
7125,-135.22
7156,-131.612
7188,-126.547
7219,-115.648
7250,-113.27
7281,-119.918
7312,-121.887
7344,-142.76
7375,-120.961
7406,-118.509
7438,-121.432
7469,-113.904
7500,-113.644
7531,-121.006
7562,-138.399
7594,-123.223
7625,-121.935
7656,-119.446
7688,-121.721
7719,-113.226
7750,-118.545
7781,-119.831
7812,-122.003
7844,-118.542
7875,-119.692
7906,-122.815
7938,-119.096
7969,-119.324
8000,-136.678
8031,-123.616
8062,-115.98
8094,-113.508
8125,-117.888
8156,-123.35
8188,-118.341
8219,-121.003
8250,-122.111
8281,-119.886
8312,-119.862
8344,-119.291
