Frequency - Plot 0,Amplitude - Plot 0
0,-90.9126
32.25,-94.7423
64.5,-111.625
96.75,-125.464
129,-114.298
161.25,-120.08
193.5,-113.34
225.75,-109.885
258,-109.47
290.25,-110.13
322.5,-110.653
354.75,-110.462
387,-137.117
419.25,-109.839
451.5,-113.089
483.75,-121.263
516,-118.623
548.25,-123.463
580.5,-113.086
612.75,-117.299
645,-118.766
677.25,-123.355
709.5,-113.596
741.75,-114.645
774,-120.274
806.25,-124.527
838.5,-120.861
870.75,-123.445
903,-120.926
935.25,-118.177
967.5,-104.816
999.75,-37.0629
1032,-31.056
1064.25,-37.09
1096.5,-107.045
1128.75,-107.788
1161,-112.933
1193.25,-121.564
1225.5,-120.963
1257.75,-118.449
1290,-112.34
1322.25,-113.546
1354.5,-125.056
1386.75,-118.307
1419,-112.324
1451.25,-115.661
1483.5,-119.409
1515.75,-124.038
1548,-118.847
1580.25,-116.412
1612.5,-115.52
1644.75,-113.694
1677,-114.234
1709.25,-117.298
1741.5,-114.536
1773.75,-114.517
1806,-115.23
1838.25,-119.367
1870.5,-118.537
1902.75,-120.65
1935,-118.056
1967.25,-122.047
1999.5,-124.005
2031.75,-97.2315
2064,-91.4346
2096.25,-97.5394
2128.5,-127.334
2160.75,-129.375
2193,-117.773
2225.25,-116.718
2257.5,-111.791
2289.75,-110.814
2322,-117.423
2354.25,-117.513
2386.5,-112.027
2418.75,-117.338
2451,-123.944
2483.25,-117.433
2515.5,-120.513
2547.75,-120.358
2580,-123.448
2612.25,-114.898
2644.5,-120.79
2676.75,-119.306
2709,-115.296
2741.25,-113.663
2773.5,-116.185
2805.75,-119.718
2838,-123.445
2870.25,-123.286
2902.5,-117.871
2934.75,-116.243
2967,-127.746
2999.25,-117.056
3031.5,-115.657
3063.75,-121.226
3096,-128.565
3128.25,-121.735
3160.5,-120.697
3192.75,-117.433
3225,-119.571
3257.25,-112.687
3289.5,-115.84
3321.75,-117.498
3354,-120.051
3386.25,-125.564
3418.5,-121.578
3450.75,-118.763
3483,-120.286
3515.25,-117.967
3547.5,-115.925
3579.75,-135.458
3612,-120.047
3644.25,-126.851
3676.5,-121.27
3708.75,-120.263
3741,-144.434
3773.25,-121.677
3805.5,-125.074
3837.75,-121.202
3870,-115.815
3902.25,-119.239
3934.5,-117.922
3966.75,-115.393
3999,-113.539
4031.25,-114.766
4063.5,-115.285
4095.75,-117.24
4128,-105.129
4160.25,-108.854
4192.5,-126.47
4224.75,-125.748
4257,-123.575
4289.25,-140.274
4321.5,-125.068
4353.75,-116.225
4386,-127.957
4418.25,-124.987
4450.5,-123.031
4482.75,-119.673
4515,-130.93
4547.25,-122.209
4579.5,-119.751
4611.75,-128.941
4644,-115.822
4676.25,-116.233
4708.5,-117.775
4740.75,-118.395
4773,-114.719
4805.25,-116.669
4837.5,-126.667
4869.75,-117.887
4902,-124.341
4934.25,-127.428
4966.5,-118.834
4998.75,-117.521
5031,-122.583
5063.25,-130.945
5095.5,-118.739
5127.75,-114.172
5160,-110.609
5192.25,-111.938
5224.5,-117.944
5256.75,-135.505
5289,-120.394
5321.25,-116.795
5353.5,-114.346
5385.75,-113.053
5418,-113.137
5450.25,-121.204
5482.5,-117.342
5514.75,-118.326
5547,-126.568
5579.25,-121.642
5611.5,-123.113
5643.75,-121.418
5676,-122.745
5708.25,-124.841
5740.5,-121.646
5772.75,-121.323
5805,-114.644
5837.25,-114.95
5869.5,-118.873
5901.75,-118.114
5934,-118.898
5966.25,-122.743
5998.5,-121.847
6030.75,-118.542
6063,-115.86
6095.25,-115.33
6127.5,-116.227
6159.75,-122.28
6192,-120.181
6224.25,-117.187
6256.5,-122.367
6288.75,-120.103
6321,-120.151
6353.25,-127.733
6385.5,-122.536
6417.75,-130.333
6450,-115.984
6482.25,-112.753
6514.5,-117.125
6546.75,-120.109
6579,-117.35
6611.25,-118.098
6643.5,-117.485
6675.75,-120.628
6708,-123.689
6740.25,-130.998
6772.5,-122.924
6804.75,-117.525
6837,-110.221
6869.25,-114.232
6901.5,-118.625
6933.75,-122.122
6966,-131.664
6998.25,-131.117
7030.5,-120.322
7062.75,-122.462
7095,-124.636
7127.25,-123.058
7159.5,-126.779
7191.75,-120.152
7224,-116.532
7256.25,-118.103
7288.5,-118.616
7320.75,-119.815
7353,-132.442
7385.25,-122.815
7417.5,-118.407
7449.75,-116.496
7482,-114.405
7514.25,-116.36
7546.5,-124.786
7578.75,-120.689
7611,-122.744
7643.25,-123.257
7675.5,-121.136
7707.75,-125.598
7740,-124.528
7772.25,-127.718
7804.5,-119.532
7836.75,-117.749
7869,-113.348
7901.25,-117.886
7933.5,-119.187
7965.75,-122.922
7998,-124.145
8030.25,-118.57
8062.5,-120.655
8094.75,-121.925
8127,-124.185
8159.25,-122.207
8191.5,-119.806
8223.75,-116.833
8256,-119.485
8288.25,-119.582
8320.5,-123.362
8352.75,-131.229
8385,-122.366
8417.25,-124.102
8449.5,-118.547
8481.75,-121.169
8514,-119.354
8546.25,-117.388
8578.5,-121.341
8610.75,-124.029
8643,-120.494
8675.25,-118.917
8707.5,-125.12
8739.75,-126.841
8772,-124.117
8804.25,-119.691
8836.5,-121.278
8868.75,-134.698
8901,-118.828
8933.25,-116.319
8965.5,-126.477
8997.75,-118.48
9030,-119.176
9062.25,-119.465
9094.5,-134.221
9126.75,-120.734
9159,-123.704
9191.25,-126.323
9223.5,-120.446
9255.75,-110.37
9288,-107.624
9320.25,-119.776
9352.5,-116.96
9384.75,-121.783
9417,-128.659
9449.25,-126.541
9481.5,-116.982
9513.75,-114.96
9546,-114.947
9578.25,-125.459
9610.5,-123.082
9642.75,-126.557
9675,-122.286
9707.25,-119.29
9739.5,-116.895
9771.75,-117.417
9804,-115.928
9836.25,-115.336
9868.5,-119.367
9900.75,-126.833
9933,-123.319
9965.25,-123.482
9997.5,-120.685
